ap_id,rssi,room_id
free_wifi,-43,A508
predavaonice,-53,A508
EMLAB,-54,A508
eduroam,-54,A508
Novinari,-54,A508
Vijecnici,-54,A508
fesb-mobile,-54,A508
Konferencija,-54,A508
SDZ,-54,A508
TP-Link_27F9,-71,A508
free_wifi,-49,A508
eduroam,-53,A508
Novinari,-53,A508
Vijecnici,-53,A508
fesb-mobile,-53,A508
Konferencija,-53,A508
SDZ,-54,A508
predavaonice,-54,A508
EMLAB,-63,A508
Priva,-66,A508
Vijecnici,-53,A508
Konferencija,-53,A508
eduroam,-54,A508
Novinari,-54,A508
fesb-mobile,-54,A508
predavaonice,-54,A508
SDZ,-54,A508
free_wifi,-56,A508
EMLAB,-59,A508
Konferencija,-65,A508
free_wifi,-49,A508
Novinari,-52,A508
eduroam,-53,A508
Vijecnici,-55,A508
fesb-mobile,-55,A508
EMLAB,-58,A508
predavaonice,-58,A508
Konferencija,-59,A508
SDZ,-59,A508
Konferencija,-66,A508
free_wifi,-41,A508
Vijecnici,-53,A508
predavaonice,-53,A508
SDZ,-53,A508
eduroam,-54,A508
Novinari,-54,A508
fesb-mobile,-54,A508
Konferencija,-54,A508
EMLAB,-56,A508
SDZ,-64,A508
free_wifi,-44,A508
predavaonice,-53,A508
Konferencija,-53,A508
SDZ,-53,A508
eduroam,-54,A508
Novinari,-54,A508
Vijecnici,-54,A508
fesb-mobile,-55,A508
EMLAB,-59,A508
Konferencija,-67,A508
free_wifi,-43,A508
eduroam,-54,A508
Novinari,-54,A508
Vijecnici,-54,A508
predavaonice,-54,A508
Konferencija,-54,A508
fesb-mobile,-55,A508
SDZ,-55,A508
EMLAB,-63,A508
Vijecnici,-65,A508
free_wifi,-43,A508
Vijecnici,-53,A508
SDZ,-53,A508
Novinari,-54,A508
fesb-mobile,-54,A508
predavaonice,-55,A508
eduroam,-55,A508
EMLAB,-57,A508
Vijecnici,-65,A508
eduroam,-65,A508
free_wifi,-43,A508
predavaonice,-54,A508
Vijecnici,-55,A508
eduroam,-55,A508
Konferencija,-55,A508
Novinari,-55,A508
SDZ,-55,A508
EMLAB,-56,A508
fesb-mobile,-56,A508
Konferencija,-64,A508
free_wifi,-44,A508
fesb-mobile,-55,A508
Konferencija,-55,A508
eduroam,-56,A508
Novinari,-56,A508
SDZ,-56,A508
Vijecnici,-57,A508
predavaonice,-57,A508
EMLAB,-63,A508
Priva,-65,A508
free_wifi,-48,A508
eduroam,-54,A508
Novinari,-54,A508
Vijecnici,-54,A508
Konferencija,-54,A508
fesb-mobile,-55,A508
predavaonice,-55,A508
SDZ,-55,A508
EMLAB,-56,A508
predavaonice,-65,A508
free_wifi,-45,A508
EMLAB,-52,A508
eduroam,-57,A508
KTOS,-67,A508
Priva,-68,A508
TP-Link_27F9,-72,A508
fesb-mobile,-74,A508
