ap_id,rssi,room_id
TP-Link_27F9,-52,A502
Priva,-53,A502
eduroam,-70,A502
Novinari,-70,A502
Vijecnici,-70,A502
predavaonice,-70,A502
fesb-mobile,-71,A502
fesb-mobile,-71,A502
Konferencija,-71,A502
SDZ,-71,A502
Priva,-52,A502
TP-Link_27F9,-54,A502
eduroam,-70,A502
Novinari,-70,A502
predavaonice,-71,A502
Vijecnici,-71,A502
fesb-mobile,-72,A502
Konferencija,-72,A502
eduroam,-73,A502
SDZ,-73,A502
TP-Link_27F9,-52,A502
Priva,-55,A502
eduroam,-67,A502
Konferencija,-67,A502
Vijecnici,-68,A502
fesb-mobile,-69,A502
predavaonice,-69,A502
Novinari,-70,A502
Novinari,-76,A502
Konferencija,-77,A502
TP-Link_27F9,-53,A502
Priva,-56,A502
fesb-mobile,-64,A502
eduroam,-64,A502
predavaonice,-64,A502
Novinari,-64,A502
Vijecnici,-64,A502
Konferencija,-66,A502
SDZ,-66,A502
eduroam,-73,A502
TP-Link_27F9,-52,A502
Priva,-56,A502
eduroam,-66,A502
Vijecnici,-66,A502
predavaonice,-66,A502
Konferencija,-66,A502
Novinari,-67,A502
SDZ,-67,A502
fesb-mobile,-68,A502
eduroam,-72,A502
TP-Link_27F9,-52,A502
Priva,-59,A502
Vijecnici,-65,A502
Konferencija,-65,A502
SDZ,-65,A502
eduroam,-66,A502
Novinari,-66,A502
fesb-mobile,-66,A502
predavaonice,-66,A502
eduroam,-71,A502
Priva,-50,A502
TP-Link_27F9,-56,A502
Vijecnici,-61,A502
Konferencija,-61,A502
SDZ,-61,A502
fesb-mobile,-62,A502
predavaonice,-62,A502
eduroam,-63,A502
Novinari,-63,A502
IoT Lab,-74,A502
Priva,-51,A502
eduroam,-53,A502
Konferencija,-53,A502
Novinari,-54,A502
Vijecnici,-54,A502
fesb-mobile,-54,A502
predavaonice,-54,A502
SDZ,-54,A502
TP-Link_27F9,-57,A502
IoT Lab,-67,A502
Priva,-51,A502
Novinari,-53,A502
fesb-mobile,-53,A502
predavaonice,-53,A502
Konferencija,-53,A502
SDZ,-53,A502
eduroam,-54,A502
Vijecnici,-54,A502
TP-Link_27F9,-57,A502
IoT Lab,-69,A502
Priva,-53,A502
eduroam,-53,A502
Vijecnici,-54,A502
fesb-mobile,-54,A502
TP-Link_27F9,-55,A502
Novinari,-55,A502
IoT Lab,-64,A502
eduroam,-72,A502
free_wifi,-74,A502
EMLAB,-79,A502
Priva,-51,A502
SDZ,-54,A502
Novinari,-55,A502
fesb-mobile,-55,A502
predavaonice,-55,A502
Konferencija,-55,A502
eduroam,-56,A502
Vijecnici,-57,A502
TP-Link_27F9,-59,A502
IoT Lab,-68,A502
Priva,-50,A502
Vijecnici,-52,A502
fesb-mobile,-52,A502
predavaonice,-52,A502
SDZ,-52,A502
eduroam,-53,A502
Novinari,-53,A502
Konferencija,-53,A502
TP-Link_27F9,-61,A502
IoT Lab,-68,A502
Priva,-51,A502
Vijecnici,-52,A502
fesb-mobile,-52,A502
Konferencija,-52,A502
SDZ,-52,A502
eduroam,-53,A502
Novinari,-53,A502
predavaonice,-53,A502
TP-Link_27F9,-59,A502
IoT Lab,-69,A502
Priva,-51,A502
eduroam,-52,A502
Novinari,-52,A502
Vijecnici,-52,A502
predavaonice,-52,A502
