ap_id,rssi,room_id
DIRECT-A8-HP OfficeJet Pro 8730,-53,A507
KTOS,-55,A507
eduroam,-70,A507
EMLAB,-71,A507
Novinari,-71,A507
dlink-6200,-72,A507
IoT Lab,-74,A507
free_wifi,-81,A507
TesLAB,-81,A507
Priva,-82,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
KTOS,-57,A507
IoT Lab,-66,A507
eduroam,-68,A507
EMLAB,-69,A507
Novinari,-69,A507
fesb-mobile,-69,A507
Vijecnici,-70,A507
predavaonice,-71,A507
Konferencija,-71,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
KTOS,-54,A507
fesb-mobile,-70,A507
predavaonice,-70,A507
EMLAB,-72,A507
dlink-6200,-73,A507
Vijecnici,-73,A507
Konferencija,-73,A507
SDZ,-73,A507
eduroam,-73,A507
KTOS,-55,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
eduroam,-69,A507
dlink-6200,-69,A507
Novinari,-69,A507
Vijecnici,-70,A507
fesb-mobile,-70,A507
EMLAB,-71,A507
predavaonice,-71,A507
Konferencija,-72,A507
KTOS,-54,A507
DIRECT-A8-HP OfficeJet Pro 8730,-60,A507
Vijecnici,-68,A507
fesb-mobile,-68,A507
eduroam,-69,A507
Novinari,-69,A507
predavaonice,-69,A507
EMLAB,-70,A507
dlink-6200,-71,A507
free_wifi,-74,A507
KTOS,-56,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
fesb-mobile,-69,A507
predavaonice,-69,A507
eduroam,-69,A507
Novinari,-69,A507
Konferencija,-69,A507
IoT Lab,-70,A507
Vijecnici,-70,A507
SDZ,-70,A507
KTOS,-54,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
eduroam,-65,A507
EMLAB,-71,A507
IoT Lab,-74,A507
free_wifi,-75,A507
TesLAB,-75,A507
dlink-6200,-75,A507
Radio Data,-79,A507
fesb-mobile,-84,A507
KTOS,-53,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
eduroam,-65,A507
EMLAB,-72,A507
IoT Lab,-72,A507
dlink-6200,-73,A507
Radio Data,-74,A507
free_wifi,-76,A507
TesLAB,-81,A507
Priva,-84,A507
KTOS,-52,A507
DIRECT-A8-HP OfficeJet Pro 8730,-59,A507
predavaonice,-69,A507
Konferencija,-69,A507
eduroam,-70,A507
fesb-mobile,-70,A507
SDZ,-70,A507
Vijecnici,-71,A507
Novinari,-72,A507
EMLAB,-74,A507
DIRECT-A8-HP OfficeJet Pro 8730,-50,A507
fesb-mobile,-59,A507
KTOS,-61,A507
eduroam,-61,A507
Novinari,-61,A507
Vijecnici,-62,A507
Konferencija,-63,A507
predavaonice,-64,A507
SDZ,-64,A507
free_wifi,-66,A507
KTOS,-45,A507
DIRECT-A8-HP OfficeJet Pro 8730,-63,A507
free_wifi,-69,A507
TesLAB,-72,A507
fesb-mobile,-73,A507
predavaonice,-73,A507
EMLAB,-74,A507
Konferencija,-74,A507
eduroam,-75,A507
Novinari,-75,A507
KTOS,-43,A507
DIRECT-A8-HP OfficeJet Pro 8730,-48,A507
Konferencija,-64,A507
Novinari,-65,A507
Vijecnici,-66,A507
fesb-mobile,-66,A507
predavaonice,-66,A507
eduroam,-66,A507
IoT Lab,-67,A507
free_wifi,-71,A507
KTOS,-40,A507
DIRECT-A8-HP OfficeJet Pro 8730,-50,A507
free_wifi,-65,A507
eduroam,-66,A507
Novinari,-66,A507
predavaonice,-66,A507
Vijecnici,-67,A507
fesb-mobile,-67,A507
SDZ,-67,A507
Konferencija,-68,A507
KTOS,-48,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
eduroam,-69,A507
TesLAB,-69,A507
free_wifi,-70,A507
dlink-6200,-71,A507
IoT Lab,-73,A507
Priva,-74,A507
EMLAB,-75,A507
Konferencija,-82,A507
KTOS,-48,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
fesb-mobile,-62,A507
Konferencija,-67,A507
eduroam,-68,A507
Novinari,-68,A507
predavaonice,-68,A507
SDZ,-68,A507
Vijecnici,-69,A507
free_wifi,-70,A507
KTOS,-51,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
free_wifi,-66,A507
eduroam,-67,A507
Novinari,-68,A507
Vijecnici,-68,A507
predavaonice,-68,A507
Konferencija,-68,A507
SDZ,-68,A507
fesb-mobile,-69,A507
KTOS,-41,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
IoT Lab,-64,A507
eduroam,-67,A507
Novinari,-67,A507
Vijecnici,-67,A507
fesb-mobile,-67,A507
predavaonice,-67,A507
Konferencija,-67,A507
SDZ,-68,A507
KTOS,-43,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
Novinari,-64,A507
Vijecnici,-66,A507
fesb-mobile,-66,A507
predavaonice,-66,A507
SDZ,-68,A507
free_wifi,-69,A507
Konferencija,-69,A507
eduroam,-70,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-56,A507
TesLAB,-67,A507
free_wifi,-68,A507
Vijecnici,-68,A507
Konferencija,-68,A507
Novinari,-69,A507
fesb-mobile,-69,A507
predavaonice,-69,A507
SDZ,-70,A507
KTOS,-41,A507
DIRECT-A8-HP OfficeJet Pro 8730,-50,A507
free_wifi,-65,A507
EMLAB,-71,A507
dlink-6200,-73,A507
TesLAB,-74,A507
Radio Data,-78,A507
fesb-mobile,-82,A507
EMLAB,-83,A507
eduroam,-84,A507
KTOS,-41,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
free_wifi,-70,A507
eduroam,-71,A507
IoT Lab,-72,A507
TesLAB,-73,A507
dlink-6200,-76,A507
Priva,-81,A507
EMLAB,-82,A507
Radio Data,-82,A507
KTOS,-48,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
Novinari,-58,A507
eduroam,-65,A507
Vijecnici,-66,A507
predavaonice,-66,A507
Konferencija,-66,A507
fesb-mobile,-67,A507
SDZ,-67,A507
free_wifi,-68,A507
KTOS,-48,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
eduroam,-64,A507
Novinari,-65,A507
Vijecnici,-66,A507
predavaonice,-66,A507
Konferencija,-66,A507
SDZ,-66,A507
TesLAB,-67,A507
fesb-mobile,-67,A507
KTOS,-46,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
predavaonice,-66,A507
Konferencija,-66,A507
eduroam,-66,A507
Novinari,-66,A507
Vijecnici,-66,A507
fesb-mobile,-67,A507
SDZ,-67,A507
free_wifi,-69,A507
KTOS,-48,A507
DIRECT-A8-HP OfficeJet Pro 8730,-49,A507
Novinari,-66,A507
Vijecnici,-66,A507
fesb-mobile,-67,A507
predavaonice,-67,A507
Konferencija,-67,A507
SDZ,-67,A507
eduroam,-67,A507
free_wifi,-69,A507
KTOS,-41,A507
DIRECT-A8-HP OfficeJet Pro 8730,-49,A507
Vijecnici,-65,A507
fesb-mobile,-65,A507
Konferencija,-65,A507
SDZ,-65,A507
eduroam,-68,A507
Novinari,-68,A507
IoT Lab,-69,A507
predavaonice,-69,A507
KTOS,-42,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
SDZ,-66,A507
free_wifi,-67,A507
predavaonice,-67,A507
Konferencija,-67,A507
eduroam,-67,A507
Novinari,-67,A507
Vijecnici,-67,A507
fesb-mobile,-67,A507
KTOS,-42,A507
DIRECT-A8-HP OfficeJet Pro 8730,-59,A507
eduroam,-66,A507
Novinari,-66,A507
Vijecnici,-66,A507
fesb-mobile,-66,A507
SDZ,-66,A507
predavaonice,-67,A507
Konferencija,-67,A507
free_wifi,-68,A507
KTOS,-49,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
fesb-mobile,-65,A507
eduroam,-66,A507
Novinari,-66,A507
Vijecnici,-66,A507
predavaonice,-66,A507
Konferencija,-66,A507
SDZ,-66,A507
free_wifi,-68,A507
KTOS,-41,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
Novinari,-62,A507
Konferencija,-64,A507
eduroam,-65,A507
fesb-mobile,-65,A507
predavaonice,-65,A507
Vijecnici,-65,A507
SDZ,-65,A507
free_wifi,-67,A507
KTOS,-39,A507
DIRECT-A8-HP OfficeJet Pro 8730,-50,A507
Novinari,-64,A507
Konferencija,-64,A507
free_wifi,-65,A507
eduroam,-65,A507
fesb-mobile,-65,A507
predavaonice,-65,A507
SDZ,-65,A507
Vijecnici,-66,A507
KTOS,-40,A507
DIRECT-A8-HP OfficeJet Pro 8730,-49,A507
Novinari,-66,A507
free_wifi,-68,A507
eduroam,-68,A507
EMLAB,-72,A507
TesLAB,-73,A507
dlink-6200,-76,A507
EMLAB,-81,A507
eduroam,-82,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
KTOS,-51,A507
eduroam,-67,A507
EMLAB,-72,A507
free_wifi,-72,A507
TesLAB,-75,A507
IoT Lab,-77,A507
dlink-6200,-78,A507
Konferencija,-81,A507
SDZ,-83,A507
KTOS,-49,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
eduroam,-64,A507
Vijecnici,-65,A507
predavaonice,-65,A507
SDZ,-65,A507
Novinari,-66,A507
fesb-mobile,-66,A507
free_wifi,-69,A507
TesLAB,-71,A507
KTOS,-39,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
predavaonice,-65,A507
Konferencija,-65,A507
SDZ,-65,A507
eduroam,-66,A507
Vijecnici,-66,A507
fesb-mobile,-66,A507
free_wifi,-69,A507
TesLAB,-70,A507
KTOS,-45,A507
DIRECT-A8-HP OfficeJet Pro 8730,-49,A507
Konferencija,-66,A507
Vijecnici,-67,A507
eduroam,-67,A507
predavaonice,-67,A507
Novinari,-67,A507
SDZ,-67,A507
fesb-mobile,-68,A507
free_wifi,-69,A507
KTOS,-40,A507
DIRECT-A8-HP OfficeJet Pro 8730,-49,A507
eduroam,-66,A507
fesb-mobile,-67,A507
free_wifi,-68,A507
Novinari,-68,A507
SDZ,-68,A507
predavaonice,-68,A507
TesLAB,-69,A507
Konferencija,-69,A507
KTOS,-48,A507
DIRECT-A8-HP OfficeJet Pro 8730,-50,A507
SDZ,-65,A507
eduroam,-66,A507
Konferencija,-66,A507
fesb-mobile,-67,A507
predavaonice,-67,A507
Novinari,-67,A507
Vijecnici,-68,A507
IoT Lab,-71,A507
KTOS,-38,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
Radio Data,-70,A507
eduroam,-73,A507
free_wifi,-74,A507
Novinari,-74,A507
Vijecnici,-75,A507
fesb-mobile,-76,A507
SDZ,-76,A507
predavaonice,-77,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-59,A507
free_wifi,-71,A507
fesb-mobile,-71,A507
Konferencija,-72,A507
Vijecnici,-72,A507
predavaonice,-73,A507
SDZ,-73,A507
eduroam,-73,A507
Novinari,-74,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-66,A507
Novinari,-69,A507
eduroam,-70,A507
Vijecnici,-70,A507
fesb-mobile,-72,A507
predavaonice,-73,A507
EMLAB,-74,A507
fesb-mobile,-80,A507
KTOS,-30,A507
DIRECT-A8-HP OfficeJet Pro 8730,-57,A507
free_wifi,-67,A507
Vijecnici,-67,A507
fesb-mobile,-73,A507
eduroam,-73,A507
Novinari,-73,A507
predavaonice,-74,A507
Konferencija,-74,A507
SDZ,-74,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-67,A507
predavaonice,-74,A507
EMLAB,-75,A507
fesb-mobile,-75,A507
SDZ,-76,A507
eduroam,-76,A507
Novinari,-77,A507
Vijecnici,-78,A507
KTOS,-30,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
free_wifi,-68,A507
eduroam,-68,A507
Novinari,-68,A507
fesb-mobile,-69,A507
predavaonice,-69,A507
SDZ,-70,A507
Konferencija,-70,A507
Vijecnici,-70,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-66,A507
eduroam,-67,A507
Novinari,-72,A507
Vijecnici,-73,A507
fesb-mobile,-73,A507
predavaonice,-73,A507
Konferencija,-74,A507
SDZ,-74,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-69,A507
SDZ,-73,A507
EMLAB,-74,A507
Vijecnici,-74,A507
fesb-mobile,-74,A507
predavaonice,-74,A507
Konferencija,-74,A507
Novinari,-75,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
free_wifi,-67,A507
EMLAB,-72,A507
eduroam,-72,A507
Novinari,-75,A507
Radio Data,-80,A507
Vijecnici,-81,A507
fesb-mobile,-82,A507
SDZ,-82,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-53,A507
free_wifi,-68,A507
Novinari,-72,A507
eduroam,-73,A507
Vijecnici,-73,A507
SDZ,-73,A507
EMLAB,-75,A507
predavaonice,-75,A507
Konferencija,-75,A507
KTOS,-27,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-66,A507
EMLAB,-73,A507
fesb-mobile,-74,A507
SDZ,-74,A507
Novinari,-75,A507
eduroam,-75,A507
Vijecnici,-75,A507
predavaonice,-75,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-68,A507
Novinari,-71,A507
Vijecnici,-72,A507
predavaonice,-73,A507
EMLAB,-75,A507
eduroam,-76,A507
Radio Data,-77,A507
eduroam,-79,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-66,A507
Novinari,-72,A507
EMLAB,-73,A507
predavaonice,-74,A507
eduroam,-75,A507
Vijecnici,-76,A507
fesb-mobile,-76,A507
fesb-mobile,-81,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
free_wifi,-69,A507
EMLAB,-72,A507
IoT Lab,-77,A507
fesb-mobile,-80,A507
Konferencija,-81,A507
SDZ,-82,A507
predavaonice,-82,A507
Vijecnici,-82,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-68,A507
Novinari,-72,A507
EMLAB,-74,A507
eduroam,-74,A507
Vijecnici,-74,A507
fesb-mobile,-74,A507
predavaonice,-74,A507
Konferencija,-74,A507
KTOS,-27,A507
DIRECT-A8-HP OfficeJet Pro 8730,-54,A507
free_wifi,-66,A507
predavaonice,-71,A507
eduroam,-71,A507
Novinari,-72,A507
EMLAB,-75,A507
Radio Data,-76,A507
SDZ,-80,A507
Vijecnici,-80,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-58,A507
free_wifi,-66,A507
Vijecnici,-71,A507
fesb-mobile,-73,A507
eduroam,-73,A507
predavaonice,-74,A507
Konferencija,-74,A507
SDZ,-74,A507
Novinari,-74,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-68,A507
fesb-mobile,-72,A507
Konferencija,-72,A507
predavaonice,-73,A507
Novinari,-73,A507
Vijecnici,-73,A507
SDZ,-73,A507
eduroam,-74,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-66,A507
eduroam,-69,A507
Novinari,-70,A507
Vijecnici,-70,A507
fesb-mobile,-70,A507
Konferencija,-70,A507
SDZ,-70,A507
predavaonice,-71,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-55,A507
free_wifi,-70,A507
eduroam,-70,A507
fesb-mobile,-70,A507
predavaonice,-70,A507
Vijecnici,-71,A507
Konferencija,-72,A507
SDZ,-72,A507
EMLAB,-76,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-57,A507
free_wifi,-68,A507
eduroam,-70,A507
Novinari,-72,A507
Vijecnici,-72,A507
fesb-mobile,-72,A507
Konferencija,-72,A507
SDZ,-72,A507
predavaonice,-73,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-67,A507
eduroam,-70,A507
Novinari,-71,A507
Vijecnici,-71,A507
fesb-mobile,-71,A507
predavaonice,-71,A507
Konferencija,-72,A507
EMLAB,-75,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-67,A507
Vijecnici,-70,A507
fesb-mobile,-71,A507
predavaonice,-71,A507
Konferencija,-71,A507
eduroam,-71,A507
Novinari,-73,A507
EMLAB,-75,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-68,A507
Novinari,-72,A507
eduroam,-73,A507
Vijecnici,-73,A507
fesb-mobile,-73,A507
Radio Data,-82,A507
EMLAB,-85,A507
IoT Lab,-85,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-69,A507
eduroam,-70,A507
Novinari,-70,A507
EMLAB,-74,A507
Radio Data,-79,A507
dlink-6200,-82,A507
IoT Lab,-84,A507
eduroam,-86,A507
KTOS,-29,A507
DIRECT-A8-HP OfficeJet Pro 8730,-57,A507
free_wifi,-67,A507
fesb-mobile,-71,A507
Novinari,-72,A507
eduroam,-72,A507
Vijecnici,-72,A507
EMLAB,-75,A507
eduroam,-81,A507
fesb-mobile,-81,A507
KTOS,-28,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-67,A507
fesb-mobile,-70,A507
predavaonice,-70,A507
Konferencija,-70,A507
Novinari,-71,A507
Vijecnici,-71,A507
eduroam,-72,A507
SDZ,-72,A507
KTOS,-30,A507
DIRECT-A8-HP OfficeJet Pro 8730,-56,A507
free_wifi,-68,A507
eduroam,-70,A507
Novinari,-71,A507
fesb-mobile,-71,A507
predavaonice,-71,A507
Vijecnici,-72,A507
SDZ,-72,A507
Konferencija,-73,A507
KTOS,-55,A507
DIRECT-A8-HP OfficeJet Pro 8730,-57,A507
predavaonice,-58,A507
fesb-mobile,-61,A507
free_wifi,-63,A507
eduroam,-64,A507
Vijecnici,-65,A507
Novinari,-65,A507
Konferencija,-71,A507
IoT Lab,-76,A507
DIRECT-A8-HP OfficeJet Pro 8730,-59,A507
KTOS,-59,A507
free_wifi,-63,A507
eduroam,-67,A507
Novinari,-67,A507
Vijecnici,-67,A507
fesb-mobile,-67,A507
predavaonice,-68,A507
Konferencija,-68,A507
SDZ,-70,A507
KTOS,-58,A507
eduroam,-60,A507
Novinari,-61,A507
DIRECT-A8-HP OfficeJet Pro 8730,-65,A507
free_wifi,-70,A507
EMLAB,-72,A507
Radio Data,-74,A507
Priva,-75,A507
IoT Lab,-79,A507
dlink-6200,-85,A507
KTOS,-51,A507
fesb-mobile,-59,A507
eduroam,-60,A507
Novinari,-60,A507
Vijecnici,-60,A507
predavaonice,-60,A507
DIRECT-A8-HP OfficeJet Pro 8730,-61,A507
Konferencija,-61,A507
Radio Data,-69,A507
EMLAB,-71,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-53,A507
Vijecnici,-61,A507
predavaonice,-62,A507
fesb-mobile,-63,A507
Konferencija,-63,A507
eduroam,-63,A507
Novinari,-64,A507
Radio Data,-69,A507
free_wifi,-71,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-53,A507
predavaonice,-60,A507
Vijecnici,-61,A507
eduroam,-61,A507
Konferencija,-61,A507
SDZ,-61,A507
Novinari,-62,A507
fesb-mobile,-62,A507
Priva,-70,A507
KTOS,-52,A507
