ap_id,rssi,room_id
Vijecnici,-54,A503
eduroam,-54,A503
Novinari,-54,A503
DUMPInternship2020,-54,A503
fesb-mobile,-54,A503
predavaonice,-54,A503
Konferencija,-54,A503
SDZ,-54,A503
Priva,-58,A503
fesb-mobile,-60,A503
eduroam,-35,A503
Novinari,-36,A503
Vijecnici,-36,A503
DUMPInternship2020,-36,A503
fesb-mobile,-36,A503
predavaonice,-36,A503
SDZ,-36,A503
Konferencija,-37,A503
Priva,-56,A503
TP-Link_27F9,-62,A503
predavaonice,-49,A503
Konferencija,-49,A503
Novinari,-50,A503
Vijecnici,-50,A503
fesb-mobile,-50,A503
SDZ,-51,A503
eduroam,-51,A503
DUMPInternship2020,-51,A503
free_wifi,-64,A503
Priva,-68,A503
Vijecnici,-44,A503
fesb-mobile,-44,A503
predavaonice,-44,A503
eduroam,-45,A503
Novinari,-45,A503
DUMPInternship2020,-45,A503
Konferencija,-45,A503
SDZ,-45,A503
free_wifi,-55,A503
Priva,-60,A503
DUMPInternship2020,-43,A503
eduroam,-44,A503
Novinari,-44,A503
Vijecnici,-44,A503
fesb-mobile,-44,A503
predavaonice,-44,A503
Konferencija,-44,A503
SDZ,-44,A503
free_wifi,-53,A503
Priva,-58,A503
eduroam,-45,A503
Novinari,-45,A503
Vijecnici,-45,A503
DUMPInternship2020,-45,A503
fesb-mobile,-45,A503
predavaonice,-45,A503
Konferencija,-45,A503
SDZ,-45,A503
free_wifi,-54,A503
Priva,-57,A503
eduroam,-44,A503
Novinari,-44,A503
Vijecnici,-44,A503
DUMPInternship2020,-44,A503
fesb-mobile,-44,A503
predavaonice,-44,A503
Konferencija,-44,A503
SDZ,-45,A503
free_wifi,-56,A503
Priva,-61,A503
fesb-mobile,-43,A503
Konferencija,-43,A503
Vijecnici,-43,A503
SDZ,-43,A503
eduroam,-44,A503
predavaonice,-44,A503
Novinari,-44,A503
DUMPInternship2020,-44,A503
free_wifi,-54,A503
Priva,-58,A503
Novinari,-52,A503
eduroam,-52,A503
Vijecnici,-52,A503
DUMPInternship2020,-52,A503
fesb-mobile,-52,A503
predavaonice,-52,A503
Konferencija,-52,A503
SDZ,-52,A503
free_wifi,-54,A503
Priva,-56,A503
eduroam,-46,A503
Novinari,-46,A503
Vijecnici,-46,A503
DUMPInternship2020,-46,A503
fesb-mobile,-46,A503
SDZ,-46,A503
predavaonice,-47,A503
Konferencija,-47,A503
free_wifi,-57,A503
Priva,-58,A503
eduroam,-42,A503
Novinari,-42,A503
Vijecnici,-42,A503
fesb-mobile,-42,A503
predavaonice,-42,A503
DUMPInternship2020,-43,A503
Konferencija,-43,A503
SDZ,-43,A503
free_wifi,-53,A503
TP-Link_27F9,-56,A503
fesb-mobile,-43,A503
DUMPInternship2020,-43,A503
Konferencija,-43,A503
eduroam,-44,A503
Novinari,-44,A503
Vijecnici,-44,A503
predavaonice,-44,A503
SDZ,-44,A503
free_wifi,-52,A503
Priva,-59,A503
fesb-mobile,-43,A503
Vijecnici,-44,A503
eduroam,-44,A503
DUMPInternship2020,-44,A503
Konferencija,-44,A503
SDZ,-44,A503
Novinari,-45,A503
predavaonice,-45,A503
free_wifi,-52,A503
Priva,-59,A503
Novinari,-44,A503
Vijecnici,-44,A503
fesb-mobile,-44,A503
predavaonice,-44,A503
Konferencija,-44,A503
SDZ,-44,A503
eduroam,-45,A503
DUMPInternship2020,-45,A503
free_wifi,-52,A503
TP-Link_27F9,-58,A503
Novinari,-44,A503
Vijecnici,-44,A503
DUMPInternship2020,-44,A503
eduroam,-45,A503
fesb-mobile,-45,A503
free_wifi,-52,A503
Priva,-58,A503
Konferencija,-61,A503
DUMPInternship2020,-62,A503
TP-Link_27F9,-62,A503
predavaonice,-44,A503
Novinari,-44,A503
DUMPInternship2020,-44,A503
SDZ,-44,A503
eduroam,-45,A503
Konferencija,-45,A503
fesb-mobile,-45,A503
Vijecnici,-46,A503
free_wifi,-53,A503
Priva,-60,A503
fesb-mobile,-44,A503
predavaonice,-44,A503
Konferencija,-44,A503
SDZ,-44,A503
eduroam,-44,A503
Vijecnici,-44,A503
DUMPInternship2020,-44,A503
Novinari,-45,A503
free_wifi,-53,A503
Priva,-61,A503
SDZ,-43,A503
eduroam,-44,A503
Vijecnici,-44,A503
DUMPInternship2020,-44,A503
fesb-mobile,-44,A503
Konferencija,-44,A503
Novinari,-45,A503
predavaonice,-45,A503
free_wifi,-53,A503
Priva,-57,A503
Vijecnici,-42,A503
eduroam,-43,A503
Novinari,-43,A503
Priva,-57,A503
free_wifi,-58,A503
Radio Data,-65,A503
eduroam,-67,A503
DUMPInternship2020,-68,A503
Konferencija,-68,A503
SDZ,-69,A503
predavaonice,-49,A503
Konferencija,-49,A503
eduroam,-49,A503
SDZ,-49,A503
Novinari,-49,A503
DUMPInternship2020,-49,A503
Vijecnici,-49,A503
fesb-mobile,-49,A503
free_wifi,-56,A503
fesb-mobile,-60,A503
Vijecnici,-48,A503
DUMPInternship2020,-48,A503
fesb-mobile,-48,A503
predavaonice,-48,A503
eduroam,-49,A503
Novinari,-49,A503
Konferencija,-49,A503
SDZ,-49,A503
free_wifi,-54,A503
eduroam,-60,A503
eduroam,-43,A503
Novinari,-43,A503
DUMPInternship2020,-43,A503
predavaonice,-43,A503
fesb-mobile,-44,A503
Vijecnici,-44,A503
Konferencija,-44,A503
SDZ,-44,A503
free_wifi,-51,A503
Konferencija,-60,A503
DUMPInternship2020,-43,A503
eduroam,-43,A503
fesb-mobile,-43,A503
predavaonice,-43,A503
Konferencija,-43,A503
Novinari,-44,A503
Vijecnici,-44,A503
SDZ,-44,A503
free_wifi,-54,A503
fesb-mobile,-61,A503
free_wifi,-51,A503
Vijecnici,-51,A503
DUMPInternship2020,-51,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
SDZ,-51,A503
eduroam,-51,A503
Novinari,-52,A503
Konferencija,-52,A503
SDZ,-60,A503
free_wifi,-51,A503
Novinari,-51,A503
eduroam,-52,A503
Vijecnici,-52,A503
DUMPInternship2020,-52,A503
fesb-mobile,-52,A503
predavaonice,-52,A503
Konferencija,-52,A503
SDZ,-52,A503
TP-Link_27F9,-61,A503
predavaonice,-52,A503
DUMPInternship2020,-52,A503
fesb-mobile,-52,A503
free_wifi,-53,A503
Konferencija,-53,A503
SDZ,-53,A503
eduroam,-53,A503
Novinari,-53,A503
Vijecnici,-53,A503
Konferencija,-59,A503
free_wifi,-51,A503
fesb-mobile,-51,A503
Novinari,-51,A503
Vijecnici,-51,A503
DUMPInternship2020,-51,A503
predavaonice,-51,A503
SDZ,-51,A503
eduroam,-52,A503
Konferencija,-52,A503
TP-Link_27F9,-60,A503
Novinari,-50,A503
Vijecnici,-50,A503
eduroam,-51,A503
DUMPInternship2020,-51,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
Konferencija,-51,A503
SDZ,-51,A503
free_wifi,-52,A503
Konferencija,-62,A503
eduroam,-50,A503
Vijecnici,-50,A503
predavaonice,-50,A503
Konferencija,-50,A503
Novinari,-51,A503
DUMPInternship2020,-51,A503
fesb-mobile,-51,A503
SDZ,-51,A503
free_wifi,-52,A503
TP-Link_27F9,-61,A503
eduroam,-50,A503
Vijecnici,-50,A503
free_wifi,-51,A503
SDZ,-51,A503
Novinari,-51,A503
DUMPInternship2020,-51,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
Konferencija,-51,A503
Priva,-61,A503
predavaonice,-50,A503
Vijecnici,-50,A503
DUMPInternship2020,-50,A503
fesb-mobile,-50,A503
Konferencija,-50,A503
free_wifi,-51,A503
eduroam,-51,A503
SDZ,-51,A503
Novinari,-52,A503
fesb-mobile,-62,A503
eduroam,-51,A503
predavaonice,-51,A503
Vijecnici,-51,A503
Konferencija,-51,A503
SDZ,-51,A503
DUMPInternship2020,-51,A503
free_wifi,-52,A503
fesb-mobile,-52,A503
Novinari,-52,A503
DUMPInternship2020,-59,A503
eduroam,-50,A503
Vijecnici,-50,A503
DUMPInternship2020,-50,A503
fesb-mobile,-50,A503
predavaonice,-50,A503
Konferencija,-50,A503
SDZ,-50,A503
free_wifi,-51,A503
Novinari,-51,A503
SDZ,-60,A503
SDZ,-50,A503
eduroam,-50,A503
Vijecnici,-50,A503
DUMPInternship2020,-50,A503
fesb-mobile,-50,A503
predavaonice,-50,A503
Konferencija,-50,A503
Novinari,-51,A503
free_wifi,-52,A503
fesb-mobile,-60,A503
predavaonice,-50,A503
eduroam,-50,A503
Novinari,-50,A503
Vijecnici,-50,A503
Konferencija,-50,A503
DUMPInternship2020,-50,A503
fesb-mobile,-50,A503
SDZ,-50,A503
free_wifi,-51,A503
Novinari,-59,A503
fesb-mobile,-50,A503
eduroam,-50,A503
Novinari,-50,A503
Vijecnici,-50,A503
predavaonice,-50,A503
Konferencija,-50,A503
SDZ,-50,A503
DUMPInternship2020,-51,A503
free_wifi,-52,A503
fesb-mobile,-58,A503
free_wifi,-52,A503
DUMPInternship2020,-52,A503
eduroam,-52,A503
Novinari,-52,A503
fesb-mobile,-52,A503
predavaonice,-52,A503
SDZ,-52,A503
Vijecnici,-53,A503
Konferencija,-53,A503
eduroam,-60,A503
Novinari,-51,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
Konferencija,-51,A503
eduroam,-52,A503
DUMPInternship2020,-52,A503
Vijecnici,-52,A503
fesb-mobile,-57,A503
DUMPInternship2020,-59,A503
Konferencija,-59,A503
eduroam,-50,A503
Novinari,-50,A503
Vijecnici,-50,A503
free_wifi,-51,A503
DUMPInternship2020,-51,A503
fesb-mobile,-51,A503
predavaonice,-52,A503
Konferencija,-52,A503
fesb-mobile,-59,A503
DUMPInternship2020,-61,A503
Novinari,-52,A503
predavaonice,-52,A503
Konferencija,-52,A503
free_wifi,-53,A503
eduroam,-53,A503
Vijecnici,-53,A503
DUMPInternship2020,-53,A503
fesb-mobile,-53,A503
SDZ,-53,A503
TP-Link_27F9,-63,A503
eduroam,-51,A503
Konferencija,-51,A503
SDZ,-51,A503
Vijecnici,-51,A503
DUMPInternship2020,-51,A503
predavaonice,-51,A503
Novinari,-52,A503
fesb-mobile,-52,A503
free_wifi,-53,A503
Konferencija,-62,A503
fesb-mobile,-50,A503
eduroam,-50,A503
Novinari,-50,A503
predavaonice,-50,A503
Konferencija,-50,A503
DUMPInternship2020,-51,A503
Vijecnici,-51,A503
SDZ,-51,A503
free_wifi,-52,A503
Priva,-62,A503
Vijecnici,-52,A503
eduroam,-52,A503
Novinari,-52,A503
predavaonice,-52,A503
Konferencija,-52,A503
SDZ,-52,A503
DUMPInternship2020,-53,A503
fesb-mobile,-53,A503
free_wifi,-54,A503
Konferencija,-64,A503
Novinari,-52,A503
free_wifi,-53,A503
eduroam,-53,A503
Vijecnici,-53,A503
DUMPInternship2020,-53,A503
fesb-mobile,-53,A503
predavaonice,-53,A503
Konferencija,-53,A503
SDZ,-53,A503
Priva,-63,A503
Konferencija,-51,A503
SDZ,-51,A503
eduroam,-51,A503
Novinari,-51,A503
Vijecnici,-51,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
free_wifi,-52,A503
DUMPInternship2020,-52,A503
Konferencija,-66,A503
eduroam,-51,A503
Novinari,-51,A503
Vijecnici,-51,A503
DUMPInternship2020,-51,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
Konferencija,-51,A503
SDZ,-52,A503
free_wifi,-53,A503
Priva,-59,A503
fesb-mobile,-50,A503
Novinari,-50,A503
free_wifi,-51,A503
predavaonice,-51,A503
eduroam,-51,A503
Konferencija,-51,A503
SDZ,-51,A503
Vijecnici,-51,A503
DUMPInternship2020,-51,A503
Priva,-61,A503
fesb-mobile,-51,A503
predavaonice,-51,A503
SDZ,-51,A503
free_wifi,-52,A503
Novinari,-52,A503
eduroam,-52,A503
Vijecnici,-52,A503
DUMPInternship2020,-52,A503
Konferencija,-52,A503
Priva,-59,A503
eduroam,-51,A503
predavaonice,-51,A503
SDZ,-51,A503
Konferencija,-52,A503
Novinari,-52,A503
Vijecnici,-52,A503
DUMPInternship2020,-52,A503
fesb-mobile,-52,A503
free_wifi,-53,A503
Priva,-63,A503
fesb-mobile,-49,A503
Konferencija,-49,A503
Novinari,-50,A503
Vijecnici,-50,A503
DUMPInternship2020,-50,A503
predavaonice,-50,A503
SDZ,-50,A503
eduroam,-51,A503
free_wifi,-65,A503
Priva,-68,A503
Vijecnici,-50,A503
eduroam,-50,A503
DUMPInternship2020,-50,A503
fesb-mobile,-50,A503
predavaonice,-50,A503
Konferencija,-50,A503
SDZ,-50,A503
Novinari,-51,A503
free_wifi,-53,A503
Priva,-63,A503
eduroam,-49,A503
DUMPInternship2020,-50,A503
fesb-mobile,-53,A503
predavaonice,-53,A503
Konferencija,-53,A503
Novinari,-54,A503
Vijecnici,-54,A503
free_wifi,-55,A503
TP-Link_27F9,-63,A503
Priva,-63,A503
free_wifi,-53,A503
eduroam,-58,A503
Vijecnici,-58,A503
fesb-mobile,-58,A503
Konferencija,-58,A503
Novinari,-59,A503
DUMPInternship2020,-59,A503
predavaonice,-59,A503
SDZ,-59,A503
Konferencija,-62,A503
fesb-mobile,-54,A503
free_wifi,-55,A503
DUMPInternship2020,-56,A503
eduroam,-57,A503
Novinari,-57,A503
Vijecnici,-58,A503
TP-Link_27F9,-63,A503
SDZ,-66,A503
predavaonice,-68,A503
Novinari,-68,A503
free_wifi,-56,A503
eduroam,-56,A503
DUMPInternship2020,-56,A503
Vijecnici,-56,A503
Novinari,-57,A503
fesb-mobile,-67,A503
DUMPInternship2020,-67,A503
Konferencija,-67,A503
SDZ,-67,A503
predavaonice,-67,A503
free_wifi,-55,A503
predavaonice,-58,A503
Konferencija,-58,A503
SDZ,-58,A503
fesb-mobile,-59,A503
DUMPInternship2020,-60,A503
Vijecnici,-61,A503
Vijecnici,-62,A503
Novinari,-62,A503
TP-Link_27F9,-63,A503
free_wifi,-54,A503
Novinari,-57,A503
DUMPInternship2020,-57,A503
fesb-mobile,-57,A503
predavaonice,-57,A503
SDZ,-57,A503
eduroam,-58,A503
Vijecnici,-58,A503
Konferencija,-58,A503
TP-Link_27F9,-62,A503
free_wifi,-56,A503
Konferencija,-57,A503
SDZ,-57,A503
eduroam,-59,A503
DUMPInternship2020,-59,A503
Novinari,-59,A503
Vijecnici,-59,A503
fesb-mobile,-59,A503
predavaonice,-59,A503
TP-Link_27F9,-64,A503
free_wifi,-53,A503
predavaonice,-53,A503
SDZ,-53,A503
eduroam,-54,A503
Novinari,-54,A503
Vijecnici,-54,A503
DUMPInternship2020,-54,A503
fesb-mobile,-54,A503
Konferencija,-54,A503
Vijecnici,-65,A503
eduroam,-54,A503
Vijecnici,-54,A503
Novinari,-55,A503
DUMPInternship2020,-55,A503
predavaonice,-56,A503
Konferencija,-56,A503
fesb-mobile,-57,A503
SDZ,-57,A503
eduroam,-61,A503
fesb-mobile,-64,A503
Novinari,-47,A503
eduroam,-48,A503
Vijecnici,-49,A503
DUMPInternship2020,-50,A503
predavaonice,-50,A503
fesb-mobile,-51,A503
Konferencija,-51,A503
SDZ,-51,A503
Priva,-60,A503
Radio Data,-63,A503
SDZ,-46,A503
Konferencija,-47,A503
predavaonice,-48,A503
fesb-mobile,-49,A503
DUMPInternship2020,-50,A503
Novinari,-51,A503
Vijecnici,-51,A503
eduroam,-53,A503
Priva,-54,A503
TP-Link_27F9,-58,A503
predavaonice,-39,A503
Konferencija,-39,A503
SDZ,-39,A503
