ap_id,rssi,room_id
Radio Data,-60,A505
free_wifi,-63,A505
Konferencija,-63,A505
SDZ,-63,A505
fesb-mobile,-64,A505
DUMPInternship2020,-65,A505
predavaonice,-65,A505
eduroam,-66,A505
Novinari,-66,A505
Vijecnici,-67,A505
Vijecnici,-61,A505
fesb-mobile,-61,A505
predavaonice,-61,A505
Konferencija,-61,A505
Radio Data,-62,A505
SDZ,-62,A505
eduroam,-62,A505
Novinari,-62,A505
DUMPInternship2020,-62,A505
free_wifi,-65,A505
free_wifi,-63,A505
Radio Data,-63,A505
Vijecnici,-63,A505
Konferencija,-63,A505
DUMPInternship2020,-63,A505
SDZ,-63,A505
Novinari,-64,A505
predavaonice,-65,A505
eduroam,-65,A505
fesb-mobile,-65,A505
Radio Data,-58,A505
DIRECT-A8-HP OfficeJet Pro 8730,-64,A505
eduroam,-68,A505
KTOS,-69,A505
free_wifi,-70,A505
Priva,-70,A505
Vijecnici,-71,A505
DUMPInternship2020,-71,A505
TP-Link_27F9,-72,A505
Novinari,-72,A505
Radio Data,-59,A505
DUMPInternship2020,-64,A505
eduroam,-64,A505
Vijecnici,-64,A505
predavaonice,-64,A505
free_wifi,-65,A505
Novinari,-65,A505
fesb-mobile,-65,A505
Konferencija,-65,A505
SDZ,-65,A505
Radio Data,-59,A505
SDZ,-64,A505
eduroam,-64,A505
Novinari,-64,A505
DUMPInternship2020,-64,A505
fesb-mobile,-64,A505
predavaonice,-64,A505
Konferencija,-65,A505
Vijecnici,-65,A505
DIRECT-A8-HP OfficeJet Pro 8730,-69,A505
Radio Data,-59,A505
free_wifi,-64,A505
predavaonice,-65,A505
Novinari,-66,A505
DUMPInternship2020,-66,A505
fesb-mobile,-66,A505
Konferencija,-66,A505
SDZ,-66,A505
TP-Link_27F9,-67,A505
eduroam,-67,A505
DIRECT-A8-HP OfficeJet Pro 8730,-64,A505
DUMPInternship2020,-66,A505
fesb-mobile,-66,A505
KTOS,-66,A505
free_wifi,-67,A505
SDZ,-67,A505
predavaonice,-67,A505
eduroam,-67,A505
Novinari,-67,A505
Konferencija,-67,A505
Radio Data,-59,A505
Konferencija,-63,A505
Novinari,-63,A505
Vijecnici,-63,A505
DUMPInternship2020,-63,A505
predavaonice,-64,A505
DIRECT-A8-HP OfficeJet Pro 8730,-64,A505
free_wifi,-65,A505
eduroam,-65,A505
SDZ,-65,A505
SDZ,-65,A505
Vijecnici,-65,A505
Konferencija,-66,A505
eduroam,-66,A505
Novinari,-66,A505
DUMPInternship2020,-66,A505
fesb-mobile,-66,A505
predavaonice,-66,A505
free_wifi,-67,A505
Radio Data,-67,A505
KTOS,-62,A505
Novinari,-64,A505
Vijecnici,-64,A505
DUMPInternship2020,-64,A505
eduroam,-65,A505
fesb-mobile,-65,A505
predavaonice,-65,A505
Konferencija,-65,A505
SDZ,-65,A505
free_wifi,-66,A505
Radio Data,-59,A505
eduroam,-63,A505
DUMPInternship2020,-63,A505
Novinari,-63,A505
Vijecnici,-63,A505
predavaonice,-63,A505
free_wifi,-64,A505
fesb-mobile,-64,A505
Konferencija,-64,A505
SDZ,-64,A505
free_wifi,-64,A505
eduroam,-64,A505
Novinari,-64,A505
DUMPInternship2020,-65,A505
fesb-mobile,-65,A505
Konferencija,-65,A505
DIRECT-A8-HP OfficeJet Pro 8730,-65,A505
Radio Data,-66,A505
Vijecnici,-66,A505
predavaonice,-66,A505
free_wifi,-65,A505
Radio Data,-65,A505
eduroam,-66,A505
DUMPInternship2020,-66,A505
fesb-mobile,-66,A505
Konferencija,-66,A505
TP-Link_27F9,-67,A505
Novinari,-67,A505
Vijecnici,-67,A505
predavaonice,-67,A505
Radio Data,-61,A505
free_wifi,-64,A505
eduroam,-64,A505
DUMPInternship2020,-64,A505
Vijecnici,-65,A505
fesb-mobile,-65,A505
predavaonice,-65,A505
Konferencija,-65,A505
Novinari,-66,A505
SDZ,-66,A505
Radio Data,-60,A505
free_wifi,-65,A505
predavaonice,-66,A505
Konferencija,-66,A505
SDZ,-66,A505
DIRECT-A8-HP OfficeJet Pro 8730,-66,A505
eduroam,-67,A505
Novinari,-67,A505
Vijecnici,-67,A505
DUMPInternship2020,-67,A505
Radio Data,-59,A505
Vijecnici,-64,A505
Novinari,-65,A505
fesb-mobile,-65,A505
predavaonice,-65,A505
SDZ,-65,A505
DIRECT-A8-HP OfficeJet Pro 8730,-65,A505
Konferencija,-66,A505
eduroam,-66,A505
DUMPInternship2020,-66,A505
Radio Data,-60,A505
Novinari,-62,A505
Priva,-64,A505
predavaonice,-65,A505
eduroam,-65,A505
SDZ,-65,A505
Konferencija,-66,A505
Vijecnici,-66,A505
fesb-mobile,-66,A505
DUMPInternship2020,-67,A505
Radio Data,-63,A505
eduroam,-64,A505
Novinari,-64,A505
fesb-mobile,-64,A505
Priva,-65,A505
Vijecnici,-65,A505
predavaonice,-65,A505
DUMPInternship2020,-65,A505
SDZ,-65,A505
free_wifi,-66,A505
Radio Data,-55,A505
free_wifi,-61,A505
SDZ,-69,A505
